Non-optimal chan   59 proposed ABAD0002 at cool       1 iteration      28
Non-optimal chan   83 proposed ABAD0002 at cool       1 iteration      28
Non-optimal chan   13 proposed ABAD0002 at cool       1 iteration      29
Non-optimal chan   85 proposed ABAD0002 at cool       1 iteration      29
Non-optimal chan   97 proposed ABAD0002 at cool       1 iteration      29
Non-optimal chan   35 proposed ABAD0002 at cool       1 iteration      29
Non-optimal chan   77 proposed ABAD0002 at cool       1 iteration      30
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      30
Non-optimal chan   35 proposed ABAD0002 at cool       1 iteration      30
Non-optimal chan   83 proposed ABAD0002 at cool       1 iteration      31
Non-optimal chan   46 proposed ABAD0002 at cool       1 iteration      31
Non-optimal chan   80 proposed ABAD0002 at cool       1 iteration      31
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      31
Non-optimal chan   25 proposed ABAD0002 at cool       1 iteration      32
Non-optimal chan   25 proposed ABAD0002 at cool       1 iteration      32
Non-optimal chan   83 proposed ABAD0002 at cool       1 iteration      33
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      33
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      33
Non-optimal chan   49 proposed ABAD0002 at cool       1 iteration      34
Non-optimal chan   67 proposed ABAD0002 at cool       1 iteration      34
Non-optimal chan   13 proposed ABAD0002 at cool       1 iteration      34
Non-optimal chan  101 proposed ABAD0002 at cool       1 iteration      34
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      35
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      35
Non-optimal chan   77 proposed ABAD0002 at cool       1 iteration      36
Non-optimal chan   59 proposed ABAD0002 at cool       1 iteration      36
Non-optimal chan   19 proposed ABAD0002 at cool       1 iteration      36
Non-optimal chan   43 proposed ABAD0002 at cool       1 iteration      36
Non-optimal chan   70 proposed ABAD0002 at cool       1 iteration      37
Non-optimal chan   61 proposed ABAD0002 at cool       1 iteration      37
Non-optimal chan   37 proposed ABAD0002 at cool       1 iteration      38
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      38
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      38
Non-optimal chan   25 proposed ABAD0002 at cool       1 iteration      39
Non-optimal chan  101 proposed ABAD0002 at cool       1 iteration      39
Non-optimal chan   77 proposed ABAD0002 at cool       1 iteration      39
Non-optimal chan   43 proposed ABAD0002 at cool       1 iteration      39
Non-optimal chan   80 proposed ABAD0002 at cool       1 iteration      40
Non-optimal chan   13 proposed ABAD0002 at cool       1 iteration      40
Non-optimal chan   37 proposed ABAD0002 at cool       1 iteration      40
Non-optimal chan   43 proposed ABAD0002 at cool       1 iteration      40
Non-optimal chan   49 proposed ABAD0002 at cool       1 iteration      41
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      41
Non-optimal chan   77 proposed ABAD0002 at cool       1 iteration      41
Non-optimal chan  104 proposed ABAD0002 at cool       1 iteration      42
Non-optimal chan  115 proposed ABAD0002 at cool       1 iteration      42
Non-optimal chan   43 proposed ABAD0002 at cool       1 iteration      43
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      43
Non-optimal chan   37 proposed ABAD0002 at cool       1 iteration      43
Non-optimal chan   59 proposed ABAD0002 at cool       1 iteration      44
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      44
Non-optimal chan  115 proposed ABAD0002 at cool       1 iteration      44
Non-optimal chan   97 proposed ABAD0002 at cool       1 iteration      44
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      45
Non-optimal chan   22 proposed ABAD0002 at cool       1 iteration      45
Non-optimal chan   35 proposed ABAD0002 at cool       1 iteration      46
Non-optimal chan  112 proposed ABAD0002 at cool       1 iteration      46
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      46
Non-optimal chan   46 proposed ABAD0002 at cool       1 iteration      46
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      47
Non-optimal chan   67 proposed ABAD0002 at cool       1 iteration      47
Non-optimal chan   13 proposed ABAD0002 at cool       1 iteration      48
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      48
Non-optimal chan   40 proposed ABAD0002 at cool       1 iteration      48
Non-optimal chan   59 proposed ABAD0002 at cool       1 iteration      48
Non-optimal chan   40 proposed ABAD0002 at cool       1 iteration      49
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      49
Non-optimal chan   19 proposed ABAD0002 at cool       1 iteration      49
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      50
Non-optimal chan   37 proposed ABAD0002 at cool       1 iteration      50
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      50
Non-optimal chan   40 proposed ABAD0002 at cool       1 iteration      50
Non-optimal chan   22 proposed ABAD0002 at cool       1 iteration      50
Non-optimal chan   64 proposed ABAD0002 at cool       1 iteration      51
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      51
Non-optimal chan   94 proposed ABAD0002 at cool       1 iteration      51
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      52
Non-optimal chan   70 proposed ABAD0002 at cool       1 iteration      52
Non-optimal chan   61 proposed ABAD0002 at cool       1 iteration      52
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      53
Non-optimal chan  109 proposed ABAD0002 at cool       1 iteration      53
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      54
Non-optimal chan  112 proposed ABAD0002 at cool       1 iteration      54
Non-optimal chan   25 proposed ABAD0002 at cool       1 iteration      54
Non-optimal chan   19 proposed ABAD0002 at cool       1 iteration      55
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      55
Non-optimal chan   19 proposed ABAD0002 at cool       1 iteration      55
Non-optimal chan   80 proposed ABAD0002 at cool       1 iteration      56
Non-optimal chan   22 proposed ABAD0002 at cool       1 iteration      56
Non-optimal chan   64 proposed ABAD0002 at cool       1 iteration      56
Non-optimal chan   80 proposed ABAD0002 at cool       1 iteration      57
Non-optimal chan   67 proposed ABAD0002 at cool       1 iteration      57
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      57
Non-optimal chan   73 proposed ABAD0002 at cool       1 iteration      57
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      58
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      58
Non-optimal chan   97 proposed ABAD0002 at cool       1 iteration      58
Non-optimal chan   61 proposed ABAD0002 at cool       1 iteration      59
